"","cod_dane","name_muni","poblacion"
"41","05001","Antioquia","12529"
"42","05002","Antioquia","26"
"43","05004","Antioquia","18"
"44","05021","Antioquia","13"
"45","05030","Antioquia","134"
"46","05031","Antioquia","124"
"47","05034","Antioquia","1117"
"48","05036","Antioquia","14"
"49","05038","Antioquia","0"
"50","05040","Antioquia","25"
"51","05042","Antioquia","250"
"52","05044","Antioquia","2"
"53","05045","Antioquia","1073"
"54","05051","Antioquia","10"
"55","05055","Antioquia","19"
"56","05059","Antioquia","2"
"57","05079","Antioquia","136"
"58","05086","Antioquia","0"
"59","05088","Antioquia","4241"
"60","05091","Antioquia","0"
"61","05093","Antioquia","28"
"62","05101","Antioquia","275"
"63","05107","Antioquia","0"
"64","05113","Antioquia","41"
"65","05120","Antioquia","340"
"66","05125","Antioquia","3"
"67","05129","Antioquia","289"
"68","05134","Antioquia","30"
"69","05138","Antioquia","33"
"70","05142","Antioquia","12"
"71","05145","Antioquia","0"
"72","05147","Antioquia","636"
"73","05148","Antioquia","343"
"74","05150","Antioquia","23"
"75","05154","Antioquia","258"
"76","05172","Antioquia","6"
"77","05190","Antioquia","19"
"78","05197","Antioquia","40"
"79","05206","Antioquia","35"
"80","05209","Antioquia","32"
"81","05212","Antioquia","401"
"82","05234","Antioquia","39"
"83","05237","Antioquia","45"
"84","05240","Antioquia","15"
"85","05250","Antioquia","93"
"86","05264","Antioquia","41"
"87","05266","Antioquia","879"
"88","05282","Antioquia","46"
"89","05284","Antioquia","45"
"90","05306","Antioquia","0"
"91","05308","Antioquia","735"
"92","05310","Antioquia","23"
"93","05313","Antioquia","1"
"94","05315","Antioquia","0"
"95","05318","Antioquia","466"
"96","05321","Antioquia","40"
"97","05347","Antioquia","0"
"98","05353","Antioquia","0"
"99","05360","Antioquia","1756"
"100","05361","Antioquia","5341"
"101","05364","Antioquia","88"
"102","05368","Antioquia","211"
"103","05376","Antioquia","599"
"104","05380","Antioquia","879"
"105","05390","Antioquia","0"
"106","05400","Antioquia","31"
"107","05411","Antioquia","26"
"108","05425","Antioquia","5"
"109","05440","Antioquia","5"
"110","05467","Antioquia","0"
"111","05475","Antioquia","0"
"112","05480","Antioquia","5"
"113","05483","Antioquia","4"
"114","05490","Antioquia","0"
"115","05495","Antioquia","36"
"116","05501","Antioquia","0"
"117","05541","Antioquia","14"
"118","05543","Antioquia","14"
"119","05576","Antioquia","0"
"120","05579","Antioquia","1010"
"121","05585","Antioquia","34"
"122","05591","Antioquia","1741"
"123","05604","Antioquia","11"
"124","05607","Antioquia","132"
